cv_monthly,college_station
0.4846967266653757,No
0.33887823686905194,No
0.4989462612184019,No
0.306150961403057,No
0.47272239345624195,No
0.41849685680571325,No
0.34617521737188983,No
0.6258604605754909,Yes
0.367565282200534,No
0.3329442781994162,No
0.36119573777319797,No
0.37908179540792347,No
0.4812846705819198,No
0.47261129791758383,No
0.536037894888419,No
0.36244564025606957,No
0.41983201796254255,No
0.546325237084956,No
0.3575726620195997,No
0.4213614217108005,No
0.4858724157988683,No
0.4862515155356562,No
0.3651087232866676,No
0.445740982516273,No
0.405927524909473,No
0.3429680883184545,No
0.49597772073415325,No
0.3997339636353604,No
0.5155478021892252,No
0.456167870301567,No
0.311169344034312,No
0.5284905260566877,No
0.42998014945030105,No
0.423142177164032,No
0.42071510027627307,No
0.5837154087296065,No
0.4811057062570239,No
0.592875332978357,No
0.3727450401765818,No
0.4848868204309535,No
0.636181128444143,No
0.5769887748534854,No
0.5585545236585742,No
0.47197529419682654,No
0.43249402857729075,No
0.43276926512073066,No
0.4908049193243504,No
0.4039038517904351,No
0.5254683368687004,No
0.43480607548134736,No
0.4647997243035879,No
0.462492660573866,No
0.5329753560584123,No
0.43793859612855485,No
0.4390531113401201,No
0.5238419483639299,No
0.5722480291453598,No
0.6042266532911281,No
0.44882607844831035,No
0.5992381352300642,No
0.4623924036607426,No
0.4273032888033269,No
0.47781011348766517,No
0.5905156774914965,No
0.45989374408114614,No
0.5260302986223885,No
0.4769845707819218,No
0.4712235587171031,No
0.5070972993866129,No
0.6364435778916718,No
0.6138439399659468,No
0.6844177779786051,No
0.4876714551934231,No
0.49159225677363194,No
0.4587957441799427,No
0.47593613899236525,No
0.4441710282884653,No
0.6159248646362487,No
0.5734764247840994,No
0.452427564092445,No
0.6144448738769329,No
0.5492503945612202,No
0.5258871592035008,No
0.527692827977455,No
0.6385246458572671,No
0.5871359691887584,No
0.613224675138709,Yes
0.4421858055707502,No
0.48589925447120014,No
0.43892827191491274,No
0.3766561038326039,No
0.5059863004116465,No
0.5946568208508293,No
0.6129897840613645,No
0.4803551602371658,No
0.43347127184930445,No
0.40766387857776876,No
0.6351811730485749,Yes
0.4449228313371815,No
0.5922738921273158,No
0.5587089605962227,No
0.4850847260441341,No
0.39505651959330945,No
0.5124333082286883,No
0.46829569809962723,No
0.552257235023732,No
0.3686203136744177,No
0.40090433955357496,No
0.4335333698572401,No
0.5581583100306071,No
0.4765875962772073,No
0.6117724971931047,No
0.5222222497726373,No
0.5456406700097316,No
0.6107358582734101,No
0.534675889669129,No
0.40300404628939135,No
0.5012961930994262,No
0.37239126257633265,No
0.47625885726612716,No
0.5709883295312134,No
0.5029342283025224,No
0.3338323642940308,No
0.4280328678455141,No
0.46289276815429153,No
0.3705117293763983,No
0.4488428288588727,No
0.4640521626789214,No
0.5017114264473943,No
0.9893849498224871,No
0.4505566864338477,No
0.44502387673588495,No
0.41561696564439227,No
0.4786153647886702,No
0.5022818691501999,No
0.5993156648214913,No
0.6154240540228935,No
0.5519726878987119,No
0.43678563799412096,No
0.49851850976522627,No
0.5336495865176969,No
0.5133953236303265,No
0.6212397180743718,No
0.5392859354390525,No
0.504403720486293,No
0.6004487870593347,No
0.4307113096168066,No
0.3842014506844573,No
0.5299399376516911,No
0.5464320869798576,No
0.4274615364711146,No
0.3760299473546533,No
0.612506083876087,No
0.44207669669133776,No
0.528207494917152,No
0.5069242336195605,No
0.7234147792411117,No
0.4897223401203057,No
0.41592324016532783,No
0.40924080117065337,No
0.4923952853337947,No
0.42941765215143407,No
0.5566478496656775,No
0.5868669416262052,No
0.5502071074218023,No
0.37258080440251456,No
0.4835059611137591,No
0.5258296826267149,No
0.5675587602444887,No
0.37623928016642516,No
0.5636321531792504,No
0.3192924625334246,No
0.49518320126827936,No
0.5633366491317195,No
0.6391596761334635,No
0.44375406706503107,No
0.5117225849449235,No
0.5707570493601513,No
0.535701339732213,No
0.5872372152078509,No
0.4246990139694629,No
0.4010156667880579,No
0.4728565822817569,No
0.48043719173755384,No
0.43924878548106144,No
0.4330092724306407,No
0.5201446826249524,No
0.42654397072018235,No
0.3547252127963364,No
0.5827429054318107,No
0.4851269338099197,No
0.5200009509080686,No
0.48431196824719697,No
0.5349686704695068,No
0.514073011675437,No
0.49799353996986334,No
0.5610085704985288,No
0.4835504699690916,No
0.41929921219235017,No
0.4126586068297617,No
0.5156316914383166,No
0.3681081744393816,No
0.48690229196510654,No
0.3262971708473122,No
0.44970487242434165,No
0.5230517395085214,No
0.34714190109799953,No
0.4181671538808609,No
0.5758875579545242,No
0.4790528841800316,No
0.49506348412997003,No
0.5359854938486953,No
0.42793601166216794,No
0.4893786734995715,No
0.5133626958668662,No
0.4842646310412082,No
0.685789279599337,No
0.4977192859309331,No
0.5092334724983508,No
0.6013928733245848,No
0.30159647208778523,No
0.39031033265224513,No
0.4457049421754722,No
0.4482527256420165,No
0.5600374631049687,No
0.577217512769786,No
0.5862148530595103,No
0.46698694682945063,No
0.5076682407068341,No
0.5516271732577577,No
0.5039569198247446,No
0.4558718544523312,No
0.5216467463070438,No
0.48715240571214585,No
