date,observed,trend,seasonal,residual
2020-07-31,537.0,,190.08854166666663,
2020-08-31,276.0,,-374.07812499999983,
2020-09-30,1011.0,,149.5607638888888,
2020-10-31,814.0,,1116.7690972222222,
2020-11-30,822.0,,880.1440972222223,
2020-12-31,319.0,,-524.3281249999999,
2021-01-31,881.0,810.5416666666665,-318.640625,389.0989583333335
2021-02-28,691.0,924.4583333333331,394.8593750000001,-628.3177083333333
2021-03-31,292.0,1062.125,271.26562499999994,-1041.390625
2021-04-30,1157.0,1198.375,-290.5364583333334,249.16145833333343
2021-05-31,1044.0,1354.4999999999998,-832.8177083333334,522.3177083333336
2021-06-30,1350.0,1532.1666666666665,-662.2864583333334,480.11979166666686
2021-07-31,1602.0,1629.1666666666667,190.08854166666663,-217.25520833333337
2021-08-31,1945.0,1667.2083333333333,-374.07812499999983,651.8697916666665
2021-09-30,2646.0,1792.7916666666667,149.5607638888888,703.6475694444445
2021-10-31,2449.0,1954.3333333333333,1116.7690972222222,-622.1024305555554
2021-11-30,2934.0,2024.9166666666665,880.1440972222223,28.9392361111112
2021-12-31,2471.0,2023.1666666666663,-524.3281249999999,972.1614583333336
2022-01-31,1057.0,2100.708333333333,-318.640625,-725.067708333333
2022-02-28,1428.0,2198.625,394.8593750000001,-1165.484375
2022-03-31,2569.0,2158.0416666666665,271.26562499999994,139.69270833333354
2022-04-30,2757.0,2195.125,-290.5364583333334,852.4114583333335
2022-05-31,1138.0,2265.7916666666665,-832.8177083333334,-294.97395833333314
2022-06-30,1214.0,2158.2083333333335,-662.2864583333334,-281.9218750000001
2022-07-31,3599.0,2135.625,190.08854166666663,1273.2864583333335
2022-08-31,2298.0,2207.958333333333,-374.07812499999983,464.1197916666668
2022-09-30,1319.0,2209.5,149.5607638888888,-1040.0607638888887
2022-10-31,4666.0,2145.625,1116.7690972222222,1403.6059027777778
2022-11-30,2413.0,2073.375,880.1440972222223,-540.5190972222223
2022-12-31,410.0,2109.125,-524.3281249999999,-1174.796875
2023-01-31,2576.0,2065.125,-318.640625,829.515625
2023-02-28,1645.0,1907.208333333333,394.8593750000001,-657.0677083333331
2023-03-31,2389.0,1914.5833333333333,271.26562499999994,203.1510416666668
2023-04-30,1404.0,1910.8750000000002,-290.5364583333334,-216.3385416666668
2023-05-31,757.0,1904.7083333333335,-832.8177083333334,-314.8906250000001
2023-06-30,2453.0,2050.6666666666665,-662.2864583333334,1064.619791666667
2023-07-31,1304.0,2094.958333333333,190.08854166666663,-981.0468749999997
2023-08-31,803.0,2218.083333333333,-374.07812499999983,-1041.0052083333333
2023-09-30,2991.0,2430.0416666666665,149.5607638888888,411.3975694444447
2023-10-31,2905.0,2494.75,1116.7690972222222,-706.5190972222222
2023-11-30,4026.0,2559.2916666666665,880.1440972222223,586.5642361111112
2023-12-31,2300.0,2546.708333333333,-524.3281249999999,277.61979166666686
2024-01-31,1749.0,2461.2083333333335,-318.640625,-393.5677083333335
2024-02-29,5427.0,2481.2916666666665,394.8593750000001,2550.8489583333335
2024-03-31,3694.0,2624.2083333333335,271.26562499999994,798.5260416666665
2024-04-30,1652.0,2727.7916666666665,-290.5364583333334,-785.255208333333
2024-05-31,2058.0,2703.2916666666665,-832.8177083333334,187.52604166666686
2024-06-30,850.0,2675.125,-662.2864583333334,-1162.8385416666665
2024-07-31,855.0,,190.08854166666663,
2024-08-31,1734.0,,-374.07812499999983,
2024-09-30,5490.0,,149.5607638888888,
2024-10-31,2892.0,,1116.7690972222222,
2024-11-30,3451.0,,880.1440972222223,
2024-12-31,2199.0,,-524.3281249999999,
